song_id,song_length,genre_ids,artist_name,composer,lyricist,language
t0aT90DlS1TGncgnKoL0SvfAWEr3Dl72QBVcokmKfLc=,223933,465,Lindsey Stirling,Lindsey Stirling| Dia Frampton| SILAS,,52
t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,259877,458,aMEI (å¼µæƒ å¦_,Wang Feng,,3
9yi9yLGK5Soiz1IO3iosDsx5O3hutglBHl1JbVHLjLw=,241975,465,å­_‡•å§_(Yanzi Sun),Li Wei Song,Xiao Han,3
TLUDFNRpLCG/DmqLiXBc4Udypwucj4XmKtotIUO6nXM=,307200,465,Pleasantville -Music From The Motion Picture,,,52
WHEVGSHBtJBVy+HjH84qRtj0KcNtYd+2pUO4xHMAJXk=,131239,2022,The Beatles,John Lennon| Paul McCartney,,52
Prbb1SisBE80rnDae36BPKvkulEiXMssQvBfVCsHr38=,191738,465,S.H.E,___å¤_˜¿ç’ž,äº”_ˆå¤©é˜¿ä¿¡,3
4tFHtB3++eobi3kDqKVourZgXgjcB3t+GxZai/2a1YM=,218917,1609,How Deep is Your Love,DUVALL| NATHAN D; KOOLMON| GAVIN HARRYMAN; WILES| ADAM RICHARD,DUVALL| NATHAN D; KOOLMON| GAVIN HARRYMAN; WILES| ADAM RICHARD,52
ClazTFnk6r0Bnuie44bocdNMM3rdlrq0bCGAsGUWcHE=,205914,1609,DJ Snake,Justin Bieber| William Grigahcine| Andrew Watt| Ali Tamposi| Louis Bell| austin roser| Lumidee Cedeno| Steven Marsden| Teddy Mendez| Edwin Perez| Brian Lee,,52
BBzumQNXUHKdEBOB7mAJuzok+IJA1c2Ryg/yzTF6tik=,206471,359,Bastille,Dan Smith| Mark Crew,,52
2NDXDScNomXhxMo3inuf2bXUmfiBo24Ee/GlV7ZGl8U=,217782,359,Against the Current,,,52
zFOsioQsN/B5k224sJzVtWsr9I7OF9y2R0c+P8IM4wI=,207029,359,Matisyahu,Matisyahu Miller| Bruno Mars| Ari Levine| Philip Lawrence,Matisyahu Miller| Bruno Mars| Ari Levine| Philip Lawrence,52
C8Wx44iuRkZEYyUpxSxvH+fT1jvEuZ3x1KP6DxNlZZY=,225619,359,Linkin Park,,,52
fxENhgZb76D62vwuyc3QG6LYnV45bm6vKd3A/cSFzVs=,223137,359,Coldplay,Chris Martin|Guy Berryman|Jonny Buckland|Mikkel S. Eriksen|Tor Erik Hermansen|Will Champion,,52
zs8Wul0JsNA4bkHNpppR+4xE2zOZNZgCbuKzEZ+AZ1A=,233964,359,Chvrches,Lauren Mayberry| Martin Doherty| Iain Cook,,52
PinxnkLUUCWYMnhftdlBbbaeH8zgueBuA9cGVgUA5Zc=,216293,359,Warhaus,marten devoldere,marten devoldere,52
byAvtqTAUfUOtOmPPbMZf+BvnsLejOwI+bh3m0L+LX8=,118050,2022,Elvis Presley,Arthur Crudup,Arthur Crudup,52
fckI/6HsGYMt8GWrwyNA3EBPY0JWYQiJF1aDw2MPwTI=,261549,1609,DJ Greg,Rick Nowels| Lana Del Rey| Kieron Menzies,,52
btcG03OHY3GNKWccPP0auvtSbhxog/kllIIOx5grE/k=,232629,352|1995,Kodaline,Stephen Garrigan| Mark Prendergast| Vincent May| Jacknife Lee| Jason Boland,Stephen Garrigan| Mark Prendergast| Vincent May| Jacknife Lee| Jason Boland,52
S5wP9R8mRjuMETwXd36BLAQcTIJ4V2Qgp4OXqJqn1II=,246021,352|1995,Yohuna,,,52
